N3.2.1.5.17.10.5,10° 1′ S,233° 27′ W
N3.2.1.5.17.10.13,8°,228° 10′ W
N3.2.1.5.17.10.14,15° S,228° 10′ W
N3.2.1.5.17.10.18,8° 30′,233° 54′ W
N3.2.1.5.17.10.20,9° 30′,233° 54′ W
N3.2.1.5.17.10.22,9° 37′ S,233° 54′ W
N3.2.1.5.17.10.28,9° 36′ S
N3.2.1.5.17.10.30,9° 34′S
N3.2.1.5.17.11.7,9° 45′ S,234° 12′W
N3.2.1.5.17.14.3,10° 23′ S,236° 5′ W
N3.2.1.5.17.14.9,10° 15′ S
N3.2.1.5.19.4.3,10° 35′ S,237° 30′ W
N3.2.1.5.21.4.5,10° 47′ S,238° 28′ W
N3.2.1.5.21.5.5,11° 10′ S,240° 38′ W
N3.2.1.5.21.6.5,10° 47′ S,238° 28′ W
N3.2.1.5.21.6.13,10° 51′ S,252° 11′ W
N3.2.1.5.21.6.23,9° 31′ S,254° 10′ W
N3.2.1.5.23.4.3,6° 10′ S,106° 50′ E
N3.2.1.5.27.11.7,6° 49′ S,253° 12′ W
N3.2.1.5.30.5.3,5°,3°
N3.2.1.5.30.5.9,12° S,8°
N3.2.1.5.30.7.9,230°,10° 20′ W
N3.2.1.5.30.7.15,28°,314°
N3.2.1.5.30.7.21,29°,159° 29′
N3.2.1.5.30.7.27,34°,181°
N3.2.1.5.30.7.33,35°½,337°
N3.2.1.5.30.9.4,27° ¾ S
N3.2.1.2.14.4,10° S,178° W
N3.2.1.2.14.6,10° 40' S,178° W
N3.2.1.2.18.4,26° S,146° W
N3.2.1.2.19.2,11° S
N3.2.1.2.23.2,15° 15' S,136° 30' W
N3.2.1.2.23.6,15° S,228° 10′ W
N3.2.1.2.23.10,14° 46' S,144° 10' W
N3.2.1.2.23.14,15° 20' S,173° 13' W
N3.2.1.2.23.16,15° 43' S,173° 13' W
N3.2.1.2.23.20,14° 56' S,179° 30' E
N3.2.1.2.31.2,47° S
N3.2.1.2.34.2,45° S
N3.2.1.2.38.2,15° 47' S,170° W
N3.2.1.2.38.4,15° S,228° 10′ W
N3.2.1.2.38.8,13° 41' S,171° 30' W
N3.2.1.2.42.4,54° S,11° E
N3.2.1.2.42.8,51° S
N3.2.1.2.42.10,35° E
N3.2.1.2.59.2,40° S
N3.2.1.2.63.2,40° 22' S,147° 29' W
N3.2.1.3.6.12.2,54° S,102° 7' W
N3.2.1.3.6.15.2,50° 21' 30" N,4° 20' W
N3.2.1.3.6.19.2,32° 33' 34" N,17° 12-7/8" W
N3.2.1.3.6.21.2,28° 38' N,17° 58' W
N3.2.1.3.6.21.6,27° 42' N,18° 9' W
N3.2.1.3.6.24.2,14° 53' 30" N,23° 30' W
N3.2.1.3.6.29.4,2° 35' N,7° 30' W
N3.2.1.3.6.29.8,0° 52' N,9° 25' W
N3.2.1.3.6.33.2,9° 30' S,18° W
N3.2.1.3.6.34.2,25° 29' S,24° 54' W
N3.2.1.3.6.44.4,35° 20' N,5° E
N3.2.1.3.7.8.4,35° 25' S
N3.2.1.3.7.10.2,39° 4' S,18° 24' E
N3.2.1.3.7.10.4,48° 41' S,18° 24' E
N3.2.1.3.7.11.4,49° 40 S
N3.2.1.3.7.12.4,56° 40' S,2° 0' E
N3.2.1.3.7.13.4,51° 50' S,21° 3' E
N3.2.1.3.7.15.4,54° S,102° 7' W
N3.2.1.3.7.16.4,54° 50' S,21° 34' E
N3.2.1.3.7.17.6,54° 55' S,72° 12' W
N3.2.1.3.7.19.4,55° 8' S,24° 3' E
N3.2.1.3.7.21.4,55° 16' S
N3.2.1.3.7.22.4,55° 8' S,24° 3' E
N3.2.1.3.7.26.4,53° 50' S,29° 24' E
N3.2.1.3.7.26.8,54° 43' S,29° 30' E
N3.2.1.3.7.28.2,55° 20' S,31° 30' E
N3.2.1.3.7.28.6,28° S
N3.2.1.3.7.29.4,56° 31' S,31° 19' E
N3.2.1.3.7.30.4,57° 50' S,29° 32' E
N3.2.1.3.7.30.10,58° 31' S,26° 57' E
N3.2.1.3.7.33.2,58° 19' S,24° 39' E
N3.2.1.3.7.34.8,59° 12' S,19° 1' E
N3.2.1.3.7.38.10,60° 21' S,13° 32' E
N3.2.1.3.7.40.6,59° 12' S,9° 45' E
N3.2.1.3.7.41.8,58° 53' 30" S
N3.2.1.3.7.43.4,59° 2' S
N3.2.1.3.7.45.2,61° 12' S,31° 47' E
N3.2.1.3.7.47.2,62° 44' S,37° E
N3.2.1.3.7.47.8,64° 12' S,38° 14' E
N3.2.1.3.7.54.2,63° 57' S,39° 38.5'
N3.2.1.3.7.55.2,63° 33' S
N3.2.1.3.7.67.6,64° 56' S,39° 35' E
N3.2.1.3.7.68.8,66° 36' 30" S
N3.2.1.3.7.69.2,67° 15' S
N3.2.1.3.8.8.2,64° 12' S,38° 14' E
N3.2.1.3.8.10.4,62° 24' S,42° 19' E
N3.2.1.3.8.10.8,60° 27' S,45° 33' E
N3.2.1.3.8.12.4,58° 10' S,50° 54' E
N3.2.1.3.8.14.4,56° 28' S
N3.2.1.3.8.16.4,56° 9' S
N3.2.1.3.8.17.4,52° 29' S
N3.2.1.3.8.18.6,50° 56' S,56° 48' E
N3.2.1.3.8.20.6,48° 30' S,58° 7' E
N3.2.1.3.8.22.4,48° 36' S,59° 35' E
N3.2.1.3.8.23.2,49° 13' S
N3.2.1.3.8.24.4,48° 56' S,60° 47' E
N3.2.1.3.8.25.2,48° 6' S,58° 22' E
N3.2.1.3.8.26.8,45° 49' S,61° 48' E
N3.2.1.3.8.27.2,49° 53' S,63° 39' E
N3.2.1.3.8.30.4,51° 15' S,67° 20' E
N3.2.1.3.8.30.8,52° 32' S,69° 47' E
N3.2.1.3.8.30.12,53° 7' S,70° 50' E
N3.2.1.3.8.30.16,53° 37' S,72° 10' E
N3.2.1.3.8.30.20,55° 49' S,75° 52' E
N3.2.1.3.8.30.24,57° 2' S,79° 56' E
N3.2.1.3.8.31.2,57° 8' S,80° 59' E
N3.2.1.3.8.34.2,57° 54' S,83° 14' E
N3.2.1.3.8.34.8,58° 2' S,84° 35' E
N3.2.1.3.8.34.14,58° 47' S,90° 56' E
N3.2.1.3.8.37.4,59° S,92° 30' E
N3.2.1.3.8.38.4,61° 52' S,95° 2' E
N3.2.1.3.8.41.2,60° 51' S,95° 41' E
N3.2.1.3.8.42.8,61° 21' S,97° 7' E
N3.2.1.3.8.46.6,60° 36' S,107° 54' E
N3.2.1.3.8.47.4,60° 13' S,110° 18' E
N3.2.1.3.8.48.6,60° 37' S,113° 24' E
N3.2.1.3.8.49.4,60° 44' S,116° 50' E
N3.2.1.3.8.50.2,59° 58' S,118° 39' E
N3.2.1.3.8.51.2,57° 56' S,130° E
N3.2.1.3.8.52.4,58° 56' S,131° 26' E
N3.2.1.3.8.52.12,58° 59' S,134° E
N3.2.1.3.8.53.4,58° 22' S,136° 22' E
N3.2.1.3.8.55.2,59° 17' S,140° 12' E
N3.2.1.3.8.56.4,58° 51' S,144° 10' E
N3.2.1.3.8.56.10,58° 58' S,144° 37' E
N3.2.1.3.8.58.2,59° 7' S,146° 53' E
N3.2.1.3.8.59.2,56° 15' S,150° E
N3.2.1.3.8.60.4,55° 1' S,152° 1' E
N3.2.1.3.8.60.8,54° 4' S,13° E
N3.2.1.3.8.62.4,49° 55' S,159° 28' E
N3.2.1.3.10.7.2,45° 48' S
N3.2.1.3.10.9.2,45° 38' S
N3.2.1.3.12.8.2,53° S,95° E
N3.2.1.3.12.11.2,44° S,140° E
N3.2.1.3.12.12.2,43° 37' S,145° 36' E
N3.2.1.3.12.12.10,43° 39' S,145° 50' E
N3.2.1.3.12.12.14,43° 36' S,147° E
N3.2.1.3.12.13.6,43° 20' S
N3.2.1.3.12.17.2,40° 50' S
N3.2.1.3.12.18.2,40° 50' S
N3.2.1.3.12.18.4,39° 50' S
N3.2.1.3.12.18.6,40° 30' S
N3.2.1.3.12.18.8,39° 50' S
N3.2.1.3.12.18.10,39° S
N3.2.1.3.12.20.2,40° 30' S
N3.2.1.3.13.26.2,46° S,135° W
N3.2.1.3.14.10.2,47° 7' S,173° W
N3.2.1.3.14.11.2,44° 30' S,165° 45' W
N3.2.1.3.14.11.8,44° 38' S,161° 27' W
N3.2.1.3.14.12.6,42° 53' S,163° 20' W
N3.2.1.3.14.13.6,42° 32' S,161° 15' W
N3.2.1.3.14.15.2,53° 3' S,156° 17' W
N3.2.1.3.14.16.2,41° 22' S,156° 12' W
N3.2.1.3.14.17.2,43° 39' S,145° 50' E
N3.2.1.3.14.17.14,43° 44' S,141° 56' W
N3.2.1.3.14.20.2,43° 3' S,139° 20' W
N3.2.1.3.14.21.6,43° 15' S,137° 39' W
N3.2.1.3.14.21.12,42° 39' S,137° 58' W
N3.2.1.3.14.21.16,41° 25' S,135° 58' W
N3.2.1.3.14.22.4,39° 44' S,133° 32' W
N3.2.1.3.14.22.8,27° S,11.5° W
N3.2.1.3.14.23.2,36° 34' S,133° 7' W
N3.2.1.3.14.24.2,32° 30' S,133° 40' W
N3.2.1.3.14.24.8,31° 6' S,134° 12' W
N3.2.1.3.14.26.4,29° 22' S,130° 28' W
N3.2.1.3.14.26.6,29° 51' S,130° 28' W
N3.2.1.3.14.27.4,28° 44' S,135° 30' W
N3.2.1.3.14.31.4,25° 1' S,134° 6' W
N3.2.1.3.14.32.4,46° S,135° W
N3.2.1.3.14.32.6,21° S,131° 32' W
N3.2.1.3.14.32.10,19° 36' S,131° 32' W
N3.2.1.3.14.33.2,17° 24' S,141° 39' W
N3.2.1.3.14.33.8,17° 20' S,141° 38' W
N3.2.1.3.14.35.2,17° 5' S,143° 16' W
N3.2.1.3.14.36.2,17° 4' S,144° 30' W
N3.2.1.3.19.18.2,17° 43' S,149° 13' W
N3.2.1.3.19.18.6,17° 29' 13" S,149° 34' 49.5" W
N3.2.1.4.8.8.6,19° 18' S,158° 54' W
N3.2.1.4.8.9.2,21° 26' S,170° 40' W
N3.2.1.4.10.7.4,21° 29' S,174° 40' W
N3.2.1.4.10.7.6,21° 3' S,174° 40' W
N3.2.1.4.10.9.2,21° 20' 30" S
N3.2.1.4.11.8.4,22° 26' S,175° 59' W
N3.2.1.4.11.12.6,41° 30' S,26° 51' E
N3.2.1.4.11.13.6,42° 27' S
N3.2.1.4.13.9.2,48° 23' S,179° 16' W
N3.2.1.4.13.9.6,50° 17' S,179° 40' E
N3.2.1.4.13.10.2,55° 39' S,178° 53' W
N3.2.1.4.13.12.4,62° 10' S,172° W
N3.2.1.4.13.13.4,64° 55' S,163° 20' W
N3.2.1.4.13.14.4,66° 0' S
N3.2.1.4.13.16.4,64° 41' S,155° 44' W
N3.2.1.4.13.16.12,64° 49' S,149° 19' W
N3.2.1.4.13.16.18,64° 48' S
N3.2.1.4.13.17.8,67° 5' S
N3.2.1.4.13.18.4,67° 31' S,142° 54' W
N3.2.1.4.13.19.4,67° 12' S,138° 0' W
N3.2.1.4.13.19.12,67° 20' S,137° 12' W
N3.2.1.4.13.22.2,67° 0' S,138° 15' W
N3.2.1.4.13.23.4,66° 15' S,134° 22' W
N3.2.1.4.13.24.4,65° 53' S,133° 42' W
N3.2.1.4.13.25.4,62° 24' S,42° 19' E
N3.2.1.4.13.27.4,59° 40' S,135° 11' W
N3.2.1.4.13.29.2,58° 39' S
N3.2.1.4.13.30.4,58° 2' S,137° 12' W
N3.2.1.4.13.31.4,56° 46' S,139° 45' W
N3.2.1.4.13.32.4,56° S,140° 31' W
N3.2.1.4.13.34.4,52° 0' S,135° 32' W
N3.2.1.4.13.35.4,50° 49' S
N3.2.1.4.13.38.4,49° 7' S,131° 2' W
